"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WP_008767054.1",10.4843978661628,1.11364276546825,1.2251990270307,0.908948457269988,0.36337733358291,0.682937956435519
"WP_008767057.1",47.2577218816101,0.376688813610183,0.777788822022474,0.484307311887929,0.628167787496908,0.855489329190984
"WP_008767082.1",51.124983824452,6.20907184364284,1.20615512660179,5.14782195648101,2.63528440597362e-07,4.24134384672532e-05
"WP_008767083.1",64.2256526524679,6.50692273216178,1.20568690209586,5.39685943411239,6.78174771397926e-08,1.30978154182653e-05
"WP_008767084.1",17.5029889426738,2.67770435735652,1.02698949651207,2.60733373267275,0.00912503747009128,0.091155977761567
"WP_008767085.1",18.6576276349063,2.9818657931277,1.07521638540822,2.7732704166293,0.00554959835979998,0.0687059249929083
"WP_008767086.1",16.2748048311996,1.99500125648514,0.975510732010034,2.04508386327483,0.0408465908859868,0.225161195070423
"WP_008767088.1",6.55599822251943,2.9990464498667,1.27469464884411,2.35275675832343,0.0186348195792268,0.137254784395883
"WP_008767090.1",3.41997489457964,3.36259281967976,1.58429635671651,2.12245190454696,0.0337998074438335,NA
"WP_008767091.1",5.1634760650672,3.7277322469347,1.45606072527672,2.56014888817653,0.0104627327840135,0.0997057134055501
"WP_008767092.1",10.7500639909666,-0.0578416525953062,0.991437881269669,-0.0583411766768808,0.953476869107953,0.984398606488147
"WP_008767094.1",9.30518562591275,1.61738662896634,1.24213133704917,1.30210596957374,0.192880162770748,0.504097222386751
"WP_008767097.1",0,NA,NA,NA,NA,NA
"WP_008767100.1",1.29131990501492,0.192978988812228,1.85711840729805,0.10391313125424,0.917238286290255,NA
"WP_008767103.1",1.67269703896893,0.995783087972694,1.84595481673303,0.539440661789886,0.589582830439552,NA
"WP_008767104.1",1.08844723967987,0.0509356861968865,1.88708993191673,0.0269916580738422,0.978466387501637,NA
"WP_008767105.1",5.00698443002717,-0.608869732796468,1.47620918651403,-0.41245491381494,0.68000602059103,0.877291476572194
"WP_008767106.1",1.46875068992506,0.716683056481411,1.78241447242835,0.402085523635255,0.68762108625347,NA
"WP_008767111.1",1.2925643219992,0.445368687787332,1.76777238011081,0.251937801946772,0.801089140046165,NA
"WP_008767112.1",4.64874624749094,0.611687124685762,1.28203516050861,0.477121956969645,0.63327528024985,0.858492506730845
"WP_008767114.1",3.52660894671384,-0.171068082981589,1.40454921439093,-0.121795720099257,0.903060803582267,NA
"WP_008767119.1",1.416668600642,-0.373220713708622,1.72106360441765,-0.21685468959464,0.828321589766915,NA
"WP_008767120.1",2.98400281886509,2.21909943029178,1.46667853613389,1.51301009431913,0.130277094802626,NA
"WP_008767130.1",33.1374425522059,1.17626279420527,0.9223949915431,1.27522677918867,0.202228985441264,0.515719516569843
"WP_008767132.1",26.4983070309322,0.253410126240927,0.848550760328324,0.29863873569906,0.7652157065843,0.91496797038063
"WP_008767133.1",18.9691989719696,-0.286844390408086,0.84478585472711,-0.339546867177061,0.734197796898585,0.901258905769153
"WP_008767134.1",2.37261334714371,0.241829614694807,1.47438687977037,0.164020460309896,0.869715036941198,NA
"WP_008767135.1",8.57729628433654,-0.0108836789357401,1.12499618815996,-0.0096744140560524,0.992281054798245,0.995732604739267
"WP_008767146.1",8.04242921784128,-0.0367777414096407,1.15760885759707,-0.0317704388388863,0.974655121120031,0.991305262052712
"WP_008767151.1",0.11719010038059,-1.15719291652627,3.91261225675524,-0.295759671694618,0.767413623141083,NA
"WP_008767153.1",0,NA,NA,NA,NA,NA
"WP_008767163.1",2.68849635447846,0.0996489217658913,1.4978184734717,0.0665293715699217,0.94695637437265,NA
"WP_008767165.1",6.31536455912815,0.729093881443372,1.27463758255232,0.572000929066786,0.567321345234193,0.821603599218128
"WP_008767170.1",5.37633996547423,1.85944660358796,1.29602653978827,1.43472880107203,0.151364393684483,0.446086112415002
"WP_008767172.1",18.0637170601602,2.9331588071878,1.13371148888476,2.58721803205256,0.00967543479621162,0.0953392333490649
"WP_008767174.1",33.4458788299395,3.1286198233625,1.11775468146544,2.79902189204942,0.00512576621349118,0.0658176362848797
"WP_008767176.1",40.0972166585464,-0.570291563124295,0.84484671593073,-0.675023708290125,0.499660702372523,0.778349879138155
"WP_008767181.1",1.87713595979163,0.798369085099841,1.67094723316183,0.477794312863569,0.632796609351292,NA
"WP_008767184.1",0.55087026589236,0.431611344242473,2.68868817712163,0.160528598264055,0.872464695580152,NA
"WP_008767185.1",2.14729174596442,1.17287712450508,1.80152488385863,0.651046863140147,0.515016236034985,NA
"WP_008767186.1",1.81642509701099,1.02914235975808,1.65276269617628,0.622680050886332,0.533494794645128,NA
"WP_008767187.1",1.54008737184252,1.45527605655519,1.9070815319823,0.763090634642407,0.445409344966745,NA
"WP_008767188.1",2.9413809986877,0.865093286350673,1.5101264596569,0.572861485088621,0.566738484313128,NA
"WP_008767190.1",5.55406824951837,3.12514838423443,1.24103399663058,2.51818112373975,0.0117962642887188,0.105063192456024
"WP_008767191.1",2.41181769085613,1.87221621425046,1.49083122909408,1.25582036230092,0.209181107264506,NA
